                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 1.1201,                0.95611,                 1.6126,                0.76859,                0.73016,                0.79087,                0.58492,                 1.2158,                  1.186,                  1.889,             0.00052739,             0.00052739,             0.00052739
                    134,                 1.1017,                 0.9137,                 1.5824,                0.86188,                0.74603,                0.83204,                0.60072,                 1.1494,                 1.1094,                 1.8807,             0.00052598,             0.00052598,             0.00052598
                    135,                 1.1803,                0.86763,                 1.6223,                0.92109,                0.77778,                0.85416,                0.59804,                 1.2087,                  1.076,                 1.9141,             0.00052456,             0.00052456,             0.00052456
                    136,                 1.1498,                0.93891,                 1.6548,                0.83889,                0.74603,                0.81846,                0.57593,                 1.2592,                 1.0468,                  1.967,             0.00052315,             0.00052315,             0.00052315
                    137,                 1.0896,                0.90681,                 1.6026,                0.84514,                0.80952,                0.82352,                0.56921,                   1.25,                 1.0621,                 1.8938,             0.00052173,             0.00052173,             0.00052173
                    138,                 1.1224,                0.91729,                 1.6218,                0.82558,                0.84127,                0.84972,                0.62232,                  1.077,                0.92064,                 1.7821,             0.00052032,             0.00052032,             0.00052032
                    139,                 1.0608,                0.89901,                 1.5625,                0.85392,                0.84127,                0.85755,                0.60657,                 1.0733,                0.95033,                 1.7731,             0.00051891,             0.00051891,             0.00051891
                    140,                 1.1043,                0.92125,                 1.6062,                0.87642,                0.78803,                0.84789,                0.61252,                 1.1814,                 1.0111,                 1.8083,             0.00051749,             0.00051749,             0.00051749
                    141,                 1.0716,                0.91513,                  1.603,                0.88752,                0.79365,                0.87507,                0.62143,                 1.1539,                0.93237,                 1.8241,             0.00051608,             0.00051608,             0.00051608
                    142,                 1.0975,                0.87937,                 1.5855,                0.85801,                0.76743,                0.87005,                0.62896,                 1.1927,                0.95156,                 1.8665,             0.00051467,             0.00051467,             0.00051467
                    143,                 1.0435,                0.91085,                 1.5699,                0.84441,                0.77778,                0.84596,                0.61562,                 1.1912,                0.97775,                 1.9356,             0.00051325,             0.00051325,             0.00051325
                    144,                 1.0313,                0.87494,                  1.563,                0.77873,                0.78212,                0.84386,                0.58369,                  1.166,                 1.0216,                 1.8916,             0.00051184,             0.00051184,             0.00051184
                    145,                 1.1068,                0.88743,                 1.5788,                0.82232,                0.74603,                 0.8207,                0.55949,                 1.2347,                 1.0772,                 1.9747,             0.00051042,             0.00051042,             0.00051042
